X,Y,OBJECTID,PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area,Median Income
29023.56811,39843.64235,1,ANG MO KIO,AM,N,NORTH-EAST REGION,NER,E5CBDDE0C2113055,5/11/2016,28976.8763,40229.1238,17494.24019,13941379.99,3500
38856.41927,34137.59485,2,BEDOK,BD,N,EAST REGION,ER,1719251260799DF6,5/11/2016,38582.665,34032.0961,21872.79896,21733187.78,4500
28491.32818,37472.0848,3,BISHAN,BS,N,CENTRAL REGION,CR,BA616285F402846F,5/11/2016,28789.763,37450.8865,13517.12156,7618920.788,5500
14030.06948,33071.7007,4,BOON LAY,BL,N,WEST REGION,WR,A3DC87118B43CDED,5/11/2016,13410.3824,33008.9884,18528.46745,8279408.151,
19021.34582,37562.4399,5,BUKIT BATOK,BK,N,WEST REGION,WR,FB44C870B04B7F57,5/11/2016,19255.415,37527.6527,15234.22342,11133256.37,4500
26699.19706,28548.5132,6,BUKIT MERAH,BM,N,CENTRAL REGION,CR,738B479882E4EE28,5/11/2016,26865.7838,28662.8732,29156.29379,14462471.89,3500
21292.23094,38695.00435,7,BUKIT PANJANG,BP,N,WEST REGION,WR,4A9C6E6BAF7BE998,5/11/2016,21287.0436,38761.8448,15891.85328,9019939.837,3500
23534.15965,34508.16365,8,BUKIT TIMAH,BT,N,CENTRAL REGION,CR,C893AEAD20F42559,5/11/2016,23256.7643,34689.0037,22492.84084,17526653.86,3500
34291.61419,33713.09325,9,GEYLANG,GL,N,CENTRAL REGION,CR,957AC76DACFDE12E,5/11/2016,34255.0407,33683.819,12959.11684,9643155.556,3500
31546.08032,32716.40775,10,KALLANG,KL,N,CENTRAL REGION,CR,229F1481FF686959,5/11/2016,31685.373,32515.7735,15584.13772,9169901.64,3500
28435.113,34257.98755,11,NOVENA,NV,N,CENTRAL REGION,CR,916F55DE440B0D0E,5/11/2016,28221.5058,34356.6386,14804.90031,8968012.419,5500
41385.03175,39881.07655,12,PASIR RIS,PR,N,EAST REGION,ER,69E0AC0FE45B2A77,5/11/2016,40795.8397,40066.4108,22425.806,15809578.74,4500
34174.42629,38112.04885,13,HOUGANG,HG,N,NORTH-EAST REGION,NER,486168254785786B,5/11/2016,34285.7643,38409.6987,18300.97614,13933185.4,3500
17440.72813,34150.67415,14,JURONG EAST,JE,N,WEST REGION,WR,D72351F1113079A2,5/11/2016,17035.36,33633.6903,27340.81729,17858613.32,3500
15304.30932,45858.6701,15,LIM CHU KANG,LK,N,NORTH REGION,NR,E4489A08FC8CCAF7,5/11/2016,15309.8168,45819.0414,18733.83625,17494884.18,
25718.22773,45427.34525,16,MANDAI,MD,N,NORTH REGION,NR,1AEBC042AF3913C4,5/11/2016,24566.11,45042.5004,17658.81706,11766080.5,
35258.19506,31273.77175,17,MARINE PARADE,MP,N,CENTRAL REGION,CR,6351E8FE95B3D9E9,5/11/2016,35005.8631,31398.3307,13952.63216,6134751.303,5500
52404.68913,41230.3371,18,NORTH-EASTERN ISLANDS,NE,N,NORTH-EAST REGION,NER,92BC3E09ACAE5FEA,5/11/2016,50424.7923,42612.8784,62436.23535,67250562.96,
9751.742468,32466.325,19,PIONEER,PN,N,WEST REGION,WR,3AF012CC0BE1DF82,5/11/2016,10156.666,32765.2907,20540.68436,12217910.69,
13698.9499,36233.625,20,JURONG WEST,JW,N,WEST REGION,WR,28E2463E2A0FC995,5/11/2016,13708.686,35974.5292,19330.29877,14680540.05,3500
37355.19918,38068.8982,21,PAYA LEBAR,PL,N,EAST REGION,ER,BD0F96ABEF38B9F6,5/11/2016,37065.5554,37940.8911,15196.81879,11685832.21,
36439.48156,42843.1916,22,PUNGGOL,PG,N,NORTH-EAST REGION,NER,ACABACFD09B4EBEE,5/11/2016,36538.4181,43023.5561,13833.93464,9377350.962,5500
22638.40311,29928.0537,23,QUEENSTOWN,QT,N,CENTRAL REGION,CR,3CB2E20AC22FDB3D,5/11/2016,22573.4605,30164.6999,34082.50802,21672762.53,4500
33115.85658,44232.09285,24,SELETAR,SL,N,NORTH-EAST REGION,NER,9D39537C03217C6F,5/11/2016,32872.3908,44016.2208,15103.70412,10847704.86,
